id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality,dup_group_id,dup_group_size
CIE 2195,𐌀𐌓𐌅𐌉𐌆𐌄𐌐𐌀𐌍𐌆𐌀𐌀𐌍𐌆𐌀𐌓𐌉𐌀𐌋,ar vize panza ancarial,𐌀𐌓 𐌅𐌉𐌆𐌄 𐌐𐌀𐌍𐌆𐌀 𐌀𐌍𐌂𐌀𐌓𐌉𐌀𐌋,ar vize panza ancarial,,,,1.000,clean,62a897fb8212,1
CIE 2196,𐌀𐌕𐌀𐌋𐌄 𐌅𐌉𐌋𐌉𐌀𐌔 𐌋𐌀𐌖𐌕𐌍𐌉,atale vilias lautni,𐌀𐌕𐌀𐌋𐌄 𐌅𐌉𐌋𐌉𐌀𐌔 𐌋𐌀𐌖𐌕𐌍𐌉,atale vilias lautni,,,,1.000,clean,01348cef6ad2,1
CIE 2197,𐌀𐌖𐌋𐌄 𐌅𐌉𐌐𐌉 𐌐𐌖𐌐𐌀𐌍𐌀𐌔𐌉𐌔,aule vipi pupanaśis,𐌀𐌖𐌋𐌄 𐌅𐌉𐌐𐌉 𐌐𐌖𐌐𐌀𐌍𐌀𐌑𐌉𐌔,aule vipi pupanaśis,,,,1.000,clean,d07a9d684c38,1
CIE 2198,𐌀𐌔 𐌅𐌉𐌐𐌉 𐌐𐌖𐌌,as vipi pum,𐌀𐌔 𐌅𐌉𐌐𐌉 𐌐𐌖𐌌,as vipi pum,,,,1.000,clean,39c0259b1c39,1
CIE 2199,𐌐𐌀𐌍𐌉𐌀 𐌅𐌉𐌐𐌉𐌍𐌀 𐌀𐌓𐌍𐌀𐌋 𐌐𐌖 𐌐𐌖𐌌𐌐,pania vipina arnal pu pump,𐌐𐌀𐌍𐌉𐌀 𐌅𐌉𐌐𐌉𐌍𐌀 𐌀𐌓𐌍𐌀𐌋 𐌐𐌖 𐌐𐌖𐌌𐌐,pania vipina arnal pu pump,,,,1.000,clean,8e1812f451ad,1
CIE 22,L·CAECINA·L·F·TLABONI·VIX·ANN S·XXX,L·CAECINA·L·F·TLABONI·VIX·ANN S·XXX,,L CAECINA L F TLABONI VIX ANN S XXX,,,,1.000,clean,35ae723cd057,1
14715,charu,χaru,𐌙𐌀𐌓𐌖,χaru,,,,1.000,clean,5158555771f7,3
14721,smi,smi,𐌔𐌌𐌉,smi,,,,1.000,clean,5f011d4ea218,1
CIE 2200,a) 𐌀𐌓𐌉𐌓𐌉𐌅𐌀𐌋 b) 𐌀𐌓𐌉𐌅𐌉𐌅𐌖𐌉𐌔𐌉𐌍𐌀𐌋,a) ar vipi vuisinal b) ar vipi vuisinal,𐌀) 𐌀𐌓 𐌅𐌉𐌐𐌉 𐌅𐌖𐌉𐌔𐌉𐌍𐌀𐌋 𐌁) 𐌀𐌓 𐌅𐌉𐌐𐌉 𐌅𐌖𐌉𐌔𐌉𐌍𐌀𐌋,ar vipi vuisinal ar vipi vuisinal,,,,0.750,clean,781ac10f0870,1
CIE 2201,AMEIÐIЯ:A ar:vipi|...cena,AMEIIr:A ar:vipi|...cena,,AMEIIr A ar vipi ...cena,,,,1.000,clean,97508a303a2b,1
CIE 2202,AЯEÐIVJ·IITIЯ·9A ar:vipi·luscesca,ArEIVJ·IITIr·9A ar:vipi·luscesca,,,,,,0.000,ocr_failed,a2ba263a4811,1
CIE 2203,AЯ·VI ar·vi,Ar·VI ar·vi,𐌀𐌓·𐌅𐌉 𐌀𐌓·𐌅𐌉,Ar VI ar vi,,,,1.000,clean,0eac09392186,1
CIE 2204,9A:IITIЯ:AЯ vel:vipi:ar,9A:IITIr:Ar vel:vipi:ar,,,,,,0.000,ocr_failed,02630da9e369,1
CIE 2205,A9OЯE:I:ITIЯJЭЯ vel vipi:seÐra:,A9OrE:I:ITIrJer vel vipi:sera:,,,,,,0.000,ocr_failed,c68c30f8c08f,1
CIE 2206,ЯIЯIИAЯI:AЯ vel vipi:eÐ:perisa,rIrInArI:Ar vel vipi:e:perisa,𐌓𐌉𐌓𐌉𐌍𐌀𐌓𐌉:𐌀𐌓 𐌅𐌄𐌋 𐌅𐌉𐌐𐌉:𐌄:𐌐𐌄𐌓𐌉𐌔𐌀,rIrInArI Ar vel vipi e perisa,,,,1.000,clean,a1a7723ffe6a,1
CIE 2207,L·VIBI·L·F·CAINAL L·Vibi·L·f·Cainal,L·VIBI·L·F·CAINAL L·Vibi·L·f·Cainal,,L VIBI L F CAINAL L Vibi L f Cainal,,,,1.000,clean,b49182d751ba,1
CIE 2208,MIИI7O9AV larÐ vipiS,MInI7O9AV lar vipiS,,,,,,0.000,ocr_failed,20bbf4aff7c6,1
14753,salanerii,salanerii,𐌔𐌀𐌋𐌀𐌍𐌄𐌓𐌉𐌉,salanerii,,,,1.000,clean,869a04687eee,1
14754,aevlti,aevlti,𐌀𐌄𐌅𐌋𐌕𐌉,aevlti,,,,1.000,clean,821cc4c50753,1
14764,pruslnas,pruslnas,𐌐𐌓𐌖𐌔𐌋𐌍𐌀𐌔,pruslnas,mr-pruslna,,,1.000,clean,912751638ddd,2
CIE 221,JANVA:LARTHI:VELNEI:ALNIAL,JANVA:LARTHI:VELNEI:ALNIAL,,,,,,0.000,needs_review,e2fc5713feff,1
CIE 2215,AIMVΘAΘA:I:ΘI:I:I:A:O Θana:vipinei:ranazunia:|creiicesa,AIMVΘAΘA:I:ΘI:I:I:A:O Θana:vipinei:ranazunia:|creiicesa,,AIMVΘAΘA I ΘI I I A O Θana vipinei ranazunia creiicesa,,,,1.000,clean,05ca2045cb1f,1
CIE 2228,Θa·vipinei|leixunia|h[er]ines,Θa·vipinei|leixunia|h[er]ines,𐌈𐌀·𐌅𐌉𐌐𐌉𐌍𐌄𐌉|𐌋𐌄𐌉𐌗𐌖𐌍𐌉𐌀|𐌇[𐌄𐌓]𐌉𐌍𐌄𐌔,Θa vipinei leixunia,,,,0.750,clean,f03c79bb3490,1
CIE 2216,A:Z:A:H:T:V:V:I:ΘI:I:I:A:I:H:A:O Θrania:vipinei:tutnasa:,A:Z:A:H:T:V:V:I:ΘI:I:I:A:I:H:A:O Θrania:vipinei:tutnasa:,𐌀:𐌆:𐌀:𐌇:𐌕:𐌅:𐌅:𐌉:𐌈𐌉:𐌉:𐌉:𐌀:𐌉:𐌇:𐌀:𐌏 𐌈𐌓𐌀𐌍𐌉𐌀:𐌅𐌉𐌐𐌉𐌍𐌄𐌉:𐌕𐌖𐌕𐌍𐌀𐌔𐌀:,A Z A H T V V I ΘI I I A I H A O Θrania vipinei tutnasa,,,,1.000,clean,1727da289cfd,1
CIE 2217,I:I:V:A:I:ΘI:I:I:A M:H vipinei:velxΘes,I:I:V:A:I:ΘI:I:I:A M:H vipinei:velxΘes,𐌉:𐌉:𐌅:𐌀:𐌉:𐌈𐌉:𐌉:𐌉:𐌀 𐌌:𐌇 𐌅𐌉𐌐𐌉𐌍𐌄𐌉:𐌅𐌄𐌋𐌗𐌈𐌄𐌔,I I V A I ΘI I I A M H vipinei velxΘes,,,,1.000,clean,42bea983b7b2,1
CIE 2218,I:V:I:Z:A:I:M:I:Z:Z:I:I:ΘI:I:A:I:O:A:I larΘia:vipinei:seiania:velus,I:V:I:Z:A:I:M:I:Z:Z:I:I:ΘI:I:A:I:O:A:I larΘia:vipinei:seiania:velus,𐌉:𐌅:𐌉:𐌆:𐌀:𐌉:𐌌:𐌉:𐌆:𐌆:𐌉:𐌉:𐌈𐌉:𐌉:𐌀:𐌉:𐌏:𐌀:𐌉 𐌋𐌀𐌓𐌈𐌉𐌀:𐌅𐌉𐌐𐌉𐌍𐌄𐌉:𐌔𐌄𐌉𐌀𐌍𐌉𐌀:𐌅𐌄𐌋𐌖𐌔,I V I Z A I M I Z Z I I ΘI I A I O A I larΘia vipinei seiania velus,,,,1.000,clean,14d4123116a0,1
CIE 2260,AƧA:IΘA:I:YRA:A:AHAO,AsA:IΘA:I:YRA:A:AHAO,,AsA IΘA I YRA A AHAO,,,,1.000,clean,0721a4ad2911,1
17062,sceth,sceθ,𐌔𐌂𐌄𐌈,sceθ,,,,1.000,clean,7e480648b4d6,1
1086,arnt,arnt,𐌀𐌓𐌍𐌕,arnt,,,,1.000,clean,da3d04fe81a1,3
7864,runas,runas,𐌓𐌖𐌍𐌀𐌔,runas,,,,1.000,clean,a840405ec063,1
1799,tni,tni,𐌕𐌍𐌉,tni,,,,1.000,clean,b08f256307ea,1
6486,sr,sr,𐌔𐌓,sr,,,,1.000,clean,cc8844298c08,1
CIE 2219,VAR:VIBINIIII Lar Vibinei CRASNISA Crasnisa LA VINIIII La Vipine CARI Cari,VAR:VIBINIIII Lar Vibinei CRASNISA Crasnisa LA VINIIII La Vipine CARI Cari,,VAR VIBINIIII Lar Vibinei CRASNISA Crasnisa LA VINIIII La Vipine CARI Cari,,,,1.000,clean,448e06d670d6,1
CIE 2264,AƧA N+V+R:I:I ƎO,AsA N+V+R:I:I eO,,,,,,0.000,ocr_failed,a34df6c1a054,1
CIE 2265,AƧAΘ IANƎMƎA: AHAO,AsAΘ IANeMeA: AHAO,,AsAΘ IANeMeA AHAO,,,,1.000,clean,9551fbc6b8da,1
CIE 2266,AƧIMMYƧ:I:AƎ:AIMAO,AsIMMYs:I:Ae:AIMAO,,AsIMMYs I Ae AIMAO,,,,1.000,clean,f8b505ee1ff2,1
CIE 2267,AƧAƧV:IANIA:IƎA:IOA,AsAsV:IANIA:IeA:IOA,,AsAsV IANIA IeA IOA,,,,1.000,clean,0fa7c5850864,1
CIE 2268,𐌒𐌖𐌕𐌉:𐌉𐌄𐌏 𐌀𐌓𐌉𐌀,QVTI:IEO ARIA,,QVTI IEO ARIA,,,,1.000,clean,c716c55a3714,1
CIE 2269,THANA HELI ATAR CLAN,THANA HELI ATAR CLAN,,THANA HELI ATAR CLAN,,,,1.000,clean,15fe7364cc48,1
CIE 2270,𐌉𐌆𐌀𐌀𐌍𐌉𐌏𐌖 𐌉𐌀𐌖𐌕𐌉𐌓,IZAANIOV IAYTIR,,IZAANIOV IAYTIR,,,,1.000,clean,1b98b3d6c9b2,1
CIE 2271,𐌉𐌀𐌍𐌀: 𐌇𐌄𐌋𐌖𐌔𐌍𐌄𐌉: 𐌖𐌀𐌓𐌍𐌀𐌔𐌀,IANA: HELUSNEI: VARNASA,,IANA HELUSNEI VARNASA,,,,1.000,clean,9cb6b13343de,1
CIE 2273,𐌉𐌀𐌍:𐌇𐌄𐌉𐌓𐌉𐌍𐌀:𐌓𐌄𐌌𐌆𐌍𐌀𐌋,IAN:HEIRINA:REMZNAL,,IAN HEIRINA REMZNAL,,,,1.000,clean,ce6cd642f744,1
CIE 2274,𐌋𐌀𐌓𐌈:𐌇𐌄𐌓𐌉𐌍𐌄:𐌋𐌀𐌓𐌈𐌀𐌋,LARθ:HERINE:LARθAL,,LARθ HERINE LARθAL,,,,1.000,clean,d418a1e62fe3,1
CIE 2277,𐌐𐌀𐌈𐌉𐌖𐌌𐌉𐌖𐌉𐌀𐌒𐌀,PAθIVMIVIAQA,,PAθIVMIVIAQA,,,,1.000,clean,441b5039845e,1
CIE 2278,L. PETINATE VELOS,L. PETINATE VELOS,,L. PETINATE VELOS,,,,1.000,clean,a89092fed2e1,1
CIE 2279,𐌋𐌀:𐌐𐌄𐌕𐌉𐌍𐌀𐌕𐌄[:]𐌅𐌄𐌋𐌖𐌔:𐌔𐌄𐌕𐌓𐌍𐌀𐌋,la:pe[ti]nate[:]velus:setrnal,𐌋𐌀:𐌐𐌄[𐌕𐌉]𐌍𐌀𐌕𐌄[:]𐌅𐌄𐌋𐌖𐌔:𐌔𐌄𐌕𐌓𐌍𐌀𐌋,la setrnal,,,,0.500,clean,6f42ce57829b,1
CIE 228,VAИIIA9ЭИЭƆ:A,VAnIIA9enec:A,,,,,,0.000,ocr_failed,2f06091a0e7f,1
CIE 2280,𐌀𐌈:𐌇𐌀𐌓𐌐𐌉𐌕𐌄[:]𐌆𐌄𐌌𐌍𐌀𐌋,aθ:harpite[:]zemnal,𐌀𐌈:𐌇𐌀𐌓𐌐𐌉𐌕𐌄[:]𐌆𐌄𐌌𐌍𐌀𐌋,aθ,,,,0.333,clean,94558c118942,1
CIE 229,AV:HCEH:JA:I VAHITAV:LVE:I,la cvenle | velxatinal,𐌋𐌀 𐌂𐌅𐌄𐌍𐌋𐌄 | 𐌅𐌄𐌋𐌗𐌀𐌕𐌉𐌍𐌀𐌋,la cvenle velxatinal,,,,1.000,clean,11b21c34d52f,1
CIE 2294,𐌅𐌀𐌅𐌕𐌖𐌓𐌉𐌍𐌉𐌏𐌉𐌍,vel herine petrual,𐌅𐌄𐌋 𐌇𐌄𐌓𐌉𐌍𐌄 𐌐𐌄𐌕𐌓𐌖𐌀𐌋,vel herine petrual,,,,1.000,clean,b1549a7fd874,2
CIE 2335,ЭJVAIAЧGЭVЭVЧA,aule:θucerna:culθs,𐌀𐌖𐌋𐌄:𐌈𐌖𐌂𐌄𐌓𐌍𐌀:𐌂𐌖𐌋𐌈𐌔,aule θucerna culθs,,,,1.000,clean,78498c07ea84,1
CIE 2296,𐌅𐌀𐌅𐌕𐌖𐌓𐌉𐌍𐌉𐌍𐌀,vavturinina,𐌅𐌀𐌅𐌕𐌖𐌓𐌉𐌍𐌉𐌍𐌀,vavturinina,,,,1.000,clean,4514a4ebed47,1
CIE 2297,𐌉𐌅𐌖𐌓𐌉:𐌀𐌏𐌓𐌉𐌍𐌉𐌔𐌀,fa : petrui | ferinisa,𐌚𐌀 : 𐌐𐌄𐌕𐌓𐌖𐌉 | 𐌚𐌄𐌓𐌉𐌍𐌉𐌔𐌀,fa petrui ferinisa,,,,1.000,clean,066528707f7e,1
CIE 2298,𐌋𐌀𐌓𐌈𐌇𐌄𐌓𐌉𐌍𐌄𐌖𐌗𐌖𐌋𐌀𐌓𐌕𐌉𐌀𐌋𐌂𐌀𐌉𐌍𐌀𐌋,larθ herine uxulartial cainal,𐌋𐌀𐌓𐌈 𐌇𐌄𐌓𐌉𐌍𐌄 𐌖𐌗𐌖𐌋𐌀𐌓𐌕𐌉𐌀𐌋 𐌂𐌀𐌉𐌍𐌀𐌋,larθ herine uxulartial cainal,,,,1.000,clean,d6c0b89717f5,1
CIE 2299,𐌀𐌉𐌀 𐌓𐌉𐌍𐌉𐌔 𐌀,[ha]stia : herin[....]apa[....],[𐌇𐌀]𐌔𐌕𐌉𐌀 : 𐌇𐌄𐌓𐌉𐌍[....]𐌀𐌐𐌀[....],,,,,0.000,clean,08b1a4e742f0,1
CIE 230,𐌀𐌐𐌇 𐌌𐌄𐌈𐌋𐌍𐌄:𐌀𐌍𐌀𐌏,aph methlne:anao,𐌀𐌐𐌇 𐌌𐌄𐌕𐌇𐌋𐌍𐌄:𐌀𐌍𐌀𐌏,aph methlne anao,,,,1.000,clean,a4571d02b5e0,1
CIE 2300,𐌋𐌀𐌍𐌉𐌍𐌀𐌉𐌍𐌉𐌓𐌉𐌍𐌉𐌏𐌓𐌀𐌉,larθ herini aninal,𐌋𐌀𐌓𐌈 𐌇𐌄𐌓𐌉𐌍𐌉 𐌀𐌍𐌉𐌍𐌀𐌋,larθ herini aninal,,,,1.000,clean,270e980cad03,1
CIE 2301,𐌅𐌕:𐌎𐌀𐌏,Ja:he:pu,,,,,,0.000,needs_review,9fe5d7466d46,1
CIE 2302,𐌂.𐌇𐌄𐌓𐌄𐌍𐌍𐌉𐌖𐌔𐌒.𐌅,C. Herenn[i]us | Q.f,,C. Q.f,,,,0.667,clean,2cc1f7a510a3,1
CIE 2303,𐌋𐌀𐌓𐌕𐌉𐌀𐌇𐌄𐌓𐌄𐌍𐌍𐌉𐌀𐌄𐌔𐌕𐌋𐌀𐌂𐌉𐌀𐌋,LARTIA HERENNIae STLACIAL,,LARTIA HERENNIae STLACIAL,,,,1.000,clean,f4c8a8654793,1
CIE 2304,𐌀𐌗:𐌇𐌄𐌓𐌌𐌄:𐌔𐌄𐌉𐌗𐌓𐌍𐌀𐌋,aθ:herme:seiθrnal,𐌀𐌈:𐌇𐌄𐌓𐌌𐌄:𐌔𐌄𐌉𐌈𐌓𐌍𐌀𐌋,aθ herme seiθrnal,,,,1.000,clean,09f53fe77377,1
CIE 2306,a. 𐌀𐌂𐌄𐌗𐌀𐌗𐌄𐌉𐌗𐌓𐌍𐌀𐌏𐌀𐌗 b. 𐌇𐌀𐌔𐌕𐌉𐌀𐌔𐌄𐌉𐌗𐌓𐌍𐌄𐌉𐌇𐌄𐌓𐌌𐌄𐌔𐌀,ha[stia se]iθrnei her[mes]a,𐌇𐌀[𐌔𐌕𐌉𐌀 𐌔𐌄]𐌉𐌈𐌓𐌍𐌄𐌉 𐌇𐌄𐌓[𐌌𐌄𐌔]𐌀,,,,,0.000,clean,254211c9be43,1
CIE 2307,𐌀𐌆𐌉𐌌𐌗𐌄𐌉𐌗𐌓𐌍𐌄𐌉𐌗𐌓𐌍𐌀𐌏,Jana:hermnei:vetnisa,,,,,,0.000,needs_review,1cc83df0a026,1
CIE 2308,𐌇𐌄𐌓𐌌𐌍𐌄𐌉:,hermnei:,𐌇𐌄𐌓𐌌𐌍𐌄𐌉:,hermnei,,,,1.000,clean,96643bfe626c,1
CIE 2309,AINIAO AINIVIANI,AINIAO AINIVIANI,,AINIAO AINIVIANI,,,,1.000,clean,f719a6d5bec4,1
CIE 2310,AINIAQAIISIRIMAO,AINIAQAIISIRIMAO,,AINIAQAIISIRIMAO,,,,1.000,clean,bec8d143a6c4,1
CIE 2311,VZISV JAHAVN,VZISV JAHAVN,,,,,,0.000,needs_review,70e8ef8d65c8,1
CIE 2312,AZVZIQIEH931HO,AZVZIQIEH931HO,,,,,,0.000,ocr_failed,deb7c4dae62f,1
CIE 2313,AHDUYIYA JAF,AHDUYIYA JAF,,,,,,0.000,needs_review,8190361e4f0f,1
CIE 2314,DX·Q·RIA AZIZYYA,DX·Q·RIA AZIZYYA,,DX Q RIA AZIZYYA,,,,1.000,clean,1da5c5d2fff9,1
CIE 2336,ЭJVOЭJVA VЭJAЧG AЯ,aule:θucerna:velusa,𐌀𐌖𐌋𐌄:𐌈𐌖𐌂𐌄𐌓𐌍𐌀:𐌅𐌄𐌋𐌖𐌔𐌀,aule θucerna velusa,,,,1.000,clean,1e158cbccb89,1
CIE 2334,ЯAЯθI:θJAIЧЭI:ЭZЧAI,larθi:θlainei:ezna[l],𐌋𐌀𐌓𐌈𐌉:𐌈𐌋𐌀𐌉𐌍𐌄𐌉:𐌄𐌆𐌍𐌀[𐌋],larθi θlainei,,,,0.667,clean,fe49a83a2b63,1
CIE 2317,a) QAWANEL b) IHJV8,a) QAWANEL b) IHJV8,,,,,,0.000,ocr_failed,9426418e0ec7,1
CIE 2319,larↃ:Ↄactra:pruint:,larc:cactra:pruint:,𐌋𐌀𐌓𐌂:𐌂𐌀𐌂𐌕𐌓𐌀:𐌐𐌓𐌖𐌉𐌍𐌕:,larc cactra pruint,,,,1.000,clean,d8e9f6feb00f,1
CIE 2320,a. AINVA:OIAqATↃAO:IↃ b. :ↃAIJVA:OIAqATↃAO:IↃ,a. AINVA:OIAqATcAO:Ic b. :cAIJVA:OIAqATcAO:Ic,,,,,,0.000,needs_review,e8fd500785a0,1
CIE 2321,JA:MAI:NVA:IↃqATↃAO:AINↃAO,JA:MAI:NVA:IcqATcAO:AINcAO,,,,,,0.000,needs_review,245d8777787c,1
CIE 2322,AↃAO TVAↃ AOIH ↃINIↃ,AcAO TVAc AOIH cINIc,,AcAO TVAc AOIH cINIc,,,,1.000,clean,d7eac8c87918,1
CIE 2329,AЯAИ1ЯA2:VЯAJA0:0ЯA,aθi:θelazu:carpnatiial,𐌀𐌈𐌉:𐌈𐌄𐌋𐌀𐌆𐌖:𐌂𐌀𐌓𐌐𐌍𐌀𐌕𐌉𐌉𐌀𐌋,aθi θelazu carpnatiial,,,,1.000,clean,0376cfff5bd9,1
CIE 2330,IЯYJЭЯ:YЯV:JЭ0:0ЯAJ,iθi:θelazu:velus,𐌉𐌈𐌉:𐌈𐌄𐌋𐌀𐌆𐌖:𐌅𐌄𐌋𐌖𐌔,iθi θelazu velus,,,,1.000,clean,8bb0ba5d43d4,1
CIE 2331,AЯIJAЧTЭ:ЭIЧTЭ0:0ЯAJ,larθ:θeprine:vetnalisa,𐌋𐌀𐌓𐌈:𐌈𐌄𐌐𐌓𐌉𐌍𐌄:𐌅𐌄𐌕𐌍𐌀𐌋𐌉𐌔𐌀,larθ θeprine vetnalisa,,,,1.000,clean,6143ad43058a,1
CIE 2332,ЯAЧA:ЭЭЯIЧЭI:JAЯCЭЯA,θana:θeprinei:larcesa,𐌈𐌀𐌍𐌀:𐌈𐌄𐌐𐌓𐌉𐌍𐌄𐌉:𐌋𐌀𐌓𐌂𐌄𐌔𐌀,θana θeprinei larcesa,,,,1.000,clean,4586e59eb30c,1
CIE 2338,VITHMQA RVITIVO,VITHMQA RVITIVO,,VITHMQA RVITIVO,,,,1.000,clean,827f9b512681,1
CIE 2339,VINITAIRANM QV:OJ,VINITAIRANM QV:OJ,,,,,,0.000,needs_review,588707d2cb7d,1
CIE 2340,MAOV 8VO:IHTVA :379V,MAOV 8VO:IHTVA :379V,,,,,,0.000,ocr_failed,f62d738c237b,1
CIE 2341,OIBVOZA3IE,OIBVOZA3IE,,,,,,0.000,ocr_failed,6f469596c8b1,1
CIE 2342,AZIJAIHAJ,AZIJAIHAJ,,,,,,0.000,needs_review,bddb5979317c,1
CIE 2343,JAITELAJQA,JAITELAJQA,,,,,,0.000,needs_review,cb03a3ca9cde,1
CIE 2344,JAHTL2J2JQAJ.AJ,JAHTL2J2JQAJ.AJ,,,,,,0.000,ocr_failed,c478dad0039f,1
CIE 2345,JAOH9A:AMDOJ,JAOH9A:AMDOJ,,,,,,0.000,ocr_failed,183c00c9f850,1
CIE 2420,𐌑𐌀𐌍𐌉𐌈𐌖𐌀𐌕𐌍𐌄𐌉:𐌕𐌖𐌑𐌀,maniθvatnei:tumusa,𐌌𐌀𐌍𐌉𐌈𐌅𐌀𐌕𐌍𐌄𐌉:𐌕𐌖𐌌𐌖𐌔𐌀,maniθvatnei tumusa,,,,1.000,clean,0da1cab82d2a,1
CIE 2346,IOↄI:AↄↄↄↄI:Oↄ aↄ:larena:laↄi,IOcI:AccccI:Oc ac:larena:laci,,IOcI AccccI Oc ac larena laci,,,,1.000,clean,f2071ac16eca,1
CIE 2465,𐌇𐌀𐌔𐌕𐌉𐌀𐌌𐌄𐌉𐌍𐌄𐌉𐌂𐌄𐌔𐌖𐌔𐌀,hastia:meinei:cesusa,𐌇𐌀𐌔𐌕𐌉𐌀:𐌌𐌄𐌉𐌍𐌄𐌉:𐌂𐌄𐌔𐌖𐌔𐌀,hastia meinei cesusa,,,,1.000,clean,706e81a751d8,1
CIE 2347,AIAↄAↄↄↄↄAↄAↄ,AIAcAccccAcAc,𐌀𐌉𐌀𐌂𐌀𐌂𐌂𐌂𐌂𐌀𐌂𐌀𐌂,AIAcAccccAcAc,,,,1.000,clean,351e8210b5ce,1
CIE 2348,IAↄↄↄVↄ:Oↄ:AↄↄↄↄI:Oↄ aↄ:larena:lↄ:tutnal,IAcccVc:Oc:AccccI:Oc ac:larena:lc:tutnal,𐌉𐌀𐌂𐌂𐌂𐌅𐌂:𐌏𐌂:𐌀𐌂𐌂𐌂𐌂𐌉:𐌏𐌂 𐌀𐌂:𐌋𐌀𐌓𐌄𐌍𐌀:𐌋𐌂:𐌕𐌖𐌕𐌍𐌀𐌋,IAcccVc Oc AccccI Oc ac larena lc tutnal,,,,1.000,clean,bbab6b029a35,1
CIE 2349,IAↄↄↄVↄ:AↄↄↄↄI:Oↄ aↄ:larena:lↄ:tutnal,IAcccVc:AccccI:Oc ac:larena:lc:tutnal,𐌉𐌀𐌂𐌂𐌂𐌅𐌂:𐌀𐌂𐌂𐌂𐌂𐌉:𐌏𐌂 𐌀𐌂:𐌋𐌀𐌓𐌄𐌍𐌀:𐌋𐌂:𐌕𐌖𐌕𐌍𐌀𐌋,IAcccVc AccccI Oc ac larena lc tutnal,,,,1.000,clean,ba614b4670c6,1
CIE 2350,:IↄↄↄVↄ:Oↄ:AↄↄↄↄI:ↄI vↄ:larena:lↄ:tutnal:,:IcccVc:Oc:AccccI:cI vc:larena:lc:tutnal:,:𐌉𐌂𐌂𐌂𐌅𐌂:𐌏𐌂:𐌀𐌂𐌂𐌂𐌂𐌉:𐌂𐌉 𐌅𐌂:𐌋𐌀𐌓𐌄𐌍𐌀:𐌋𐌂:𐌕𐌖𐌕𐌍𐌀𐌋:,IcccVc Oc AccccI cI vc larena lc tutnal,,,,1.000,clean,64c9042e4c1c,1
CIE 2351,AↄIↄAↄↄVↄ:IↄↄↄↄI:Aↄ ha:ↄarcnei:tutnalisa,AcIcAccVc:IccccI:Ac ha:carcnei:tutnalisa,𐌀𐌂𐌉𐌂𐌀𐌂𐌂𐌅𐌂:𐌉𐌂𐌂𐌂𐌂𐌉:𐌀𐌂 𐌇𐌀:𐌂𐌀𐌓𐌂𐌍𐌄𐌉:𐌕𐌖𐌕𐌍𐌀𐌋𐌉𐌔𐌀,AcIcAccVc IccccI Ac ha carcnei tutnalisa,,,,1.000,clean,267983c72501,1
CIE 2352,AↄAↄↄↄↄI:ↄV:Vↄ:Aↄ ↄa:tu:ↄus:ↄarcnaↄa,AcAccccI:cV:Vc:Ac ca:tu:cus:carcnaca,𐌀𐌂𐌀𐌂𐌂𐌂𐌂𐌉:𐌂𐌅:𐌅𐌂:𐌀𐌂 𐌂𐌀:𐌕𐌖:𐌂𐌖𐌔:𐌂𐌀𐌓𐌂𐌍𐌀𐌂𐌀,AcAccccI cV Vc Ac ca tu cus carcnaca,,,,1.000,clean,176706009fb6,1
CIE 2353,AↄIↄAↄAↄ ↄa ↄarisa,AcIcAcAc ca carisa,𐌀𐌂𐌉𐌂𐌀𐌂𐌀𐌂 𐌂𐌀 𐌂𐌀𐌓𐌉𐌔𐌀,AcIcAcAc ca carisa,,,,1.000,clean,37c3e241a3d8,1
CIE 2354,JAQO:IAJ:OQAJ JAQO:IAJ,JAQO:IAJ:OQAJ JAQO:IAJ,,,,,,0.000,needs_review,9f83cb48f5c9,1
CIE 2355,VITAQ:2OIT,VITAQ:2OIT,,,,,,0.000,ocr_failed,251180be085c,1
CIE 2356,L:TIOAJ AMV8A 12,L:TIOAJ AMV8A 12,,,,,,0.000,ocr_failed,c6ac10ce5990,1
CIE 2357,JAHMAVO:IHITAJ:2J,JAHMAVO:IHITAJ:2J,,,,,,0.000,ocr_failed,ab93fa51c079,1
CIE 2358,AZAH:O3I:IHITAJ:AMAO,AZAH:O3I:IHITAJ:AMAO,,,,,,0.000,ocr_failed,c516356def30,1
CIE 2359,2ANAQ:MYIHITAV A,2ANAQ:MYIHITAV A,,,,,,0.000,ocr_failed,53a99582b0db,1
CIE 236,Λ8M:OΛΛ ATAT,Λ8M:OΛΛ ATAT,,,,,,0.000,ocr_failed,50c31b264aaa,1
CIE 2361,LAIHIT:V2 3Y N:OA,LAIHIT:V2 3Y N:OA,,,,,,0.000,ocr_failed,f83407f3a6ac,1
CIE 2362,JAIHIT:VM3D:J7,JAIHIT:VM3D:J7,,,,,,0.000,ocr_failed,8a8fcfbe4494,1
CIE 2363,IAH+H9A:V2,IAH+H9A:V2,,,,,,0.000,ocr_failed,45aac1c70ddf,1
CIE 2364,AIHMIT+V:V2E9:IHIAJ:E1,AIHMIT+V:V2E9:IHIAJ:E1,,,,,,0.000,ocr_failed,f9b0d7fd0fdf,1
