id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality,dup_group_id,dup_group_size
7451,miramuthaspac,miramuθaspac,𐌌𐌉𐌓𐌀𐌌𐌖𐌈𐌀𐌔𐌐𐌀𐌂,miramuθaspac,imr-ramuthascha,,,1.000,clean,da5b2a9a5bf2,1
7456,thanachti,θanaχti,𐌈𐌀𐌍𐌀𐌙𐌕𐌉,θanaχti,,,,1.000,clean,82af3477cdfe,2
9677,larzni(e)sa{----},larzni(e)sa{----},𐌋𐌀𐌓𐌆𐌍𐌉(𐌄)𐌔𐌀{----},,mr-larznies-daughters-husband,,,0.000,clean,363b2f02ab02,1
CIE 2639,PVPIA L.F Pupia L.f,PVPIA L.F Pupia L.f,,PVPIA L.F Pupia L.f,,,,1.000,clean,8eb12eaed04f,1
CIE 2640,HMLVA.L.NVI.OL l.p.pupli.l.aulstn,HMLVA.L.NVI.OL l.p.pupli.l.aulstn,,HMLVA.L.NVI.OL l.p.pupli.l.aulstn,,,,1.000,clean,28da71ade827,1
CIE 2641,LAHMVIER.OL l.p.pupli.l.setumnal,LAHMVIER.OL l.p.pupli.l.setumnal,,LAHMVIER.OL l.p.pupli.l.setumnal,,,,1.000,clean,c0b36428cdbe,1
CIE 2642,IVI.IEHMVIER.AIEAI velia.setumnei.pup,IVI.IEHMVIER.AIEAI velia.setumnei.pup,,IVI.IEHMVIER.AIEAI velia.setumnei.pup,,,,1.000,clean,c8be495f361c,1
CIE 2643,IAIMI NAM pupli|sali,IAIMI NAM pupli|sali,,IAIMI NAM pupli sali,,,,1.000,clean,2c5b2e2a17ce,1
7301,pt----------na,pt----------na,𐌐𐌕----------𐌍𐌀,,mr-thaniamrs-latinis,,,0.000,clean,77bf0c1faadf,1
7302,lethial,leθial,𐌋𐌄𐌈𐌉𐌀𐌋,leθial,mrs-lethis,,,1.000,clean,90ce1f205461,6
7305,purnei,purnei,𐌐𐌖𐌓𐌍𐌄𐌉,purnei,,,,1.000,clean,73551eb905d4,2
7309,sethre--,seθre--,𐌔𐌄𐌈𐌓𐌄--,,of-mr-sethre,,,0.000,clean,dc4220d137ca,3
7327,tava,tava,𐌕𐌀𐌅𐌀,tava,,,,1.000,clean,7a09820f154f,1
7328,munth,munθ,𐌌𐌖𐌍𐌈,munθ,,,,1.000,clean,802a2aebeb49,1
7557,lasper----,lasper----,𐌋𐌀𐌔𐌐𐌄𐌓----,,,,,0.000,clean,21b21d2596a5,1
7573,mivielchas,mivielχas,𐌌𐌉𐌅𐌉𐌄𐌋𐌙𐌀𐌔,mivielχas,imr-velchasorforthesakeofcoveringallbases,,,1.000,clean,97c97196c950,1
7599,----ecnala,----ecnala,----𐌄𐌂𐌍𐌀𐌋𐌀,,mr-precna--,,,0.000,clean,dc6c3dd40f60,1
7650,mipl--------------ninur,mipl--------------ninur,𐌌𐌉𐌐𐌋--------------𐌍𐌉𐌍𐌖𐌓,,,,,0.000,clean,e01b43265fa8,1
7666,turce,turce,𐌕𐌖𐌓𐌂𐌄,turce,mr-rathnusnas,,,1.000,clean,0beec1919a73,5
7670,ecnatie,ecnatie,𐌄𐌂𐌍𐌀𐌕𐌉𐌄,ecnatie,ecnatie,,,1.000,clean,f2785876762c,1
7673,elchsuntre,elχsuntre,𐌄𐌋𐌙𐌔𐌖𐌍𐌕𐌓𐌄,elχsuntre,alexander,,,1.000,clean,ce907b0c15ee,1
7674,felasntre,felasntre,𐌚𐌄𐌋𐌀𐌔𐌍𐌕𐌓𐌄,felasntre,priam,,,1.000,clean,6bf0705bc4dd,1
7675,elinai,elinai,𐌄𐌋𐌉𐌍𐌀𐌉,elinai,,,,1.000,clean,fd3f6037be3b,3
7676,elsntre,elsntre,𐌄𐌋𐌔𐌍𐌕𐌓𐌄,elsntre,alexander,,,1.000,clean,d6c274afc8d6,1
7677,senele,senele,𐌔𐌄𐌍𐌄𐌋𐌄,senele,,,,1.000,clean,b84ba215bdc3,1
7890,thei,θei,𐌈𐌄𐌉,θei,,,,1.000,clean,cb4a535b10bd,1
CIE 2649,𐌇𐌀𐌔𐌕𐌉𐌐𐌖𐌓𐌍𐌉𐌔,HASTI | PURNIS,,HASTI PURNIS,,,,1.000,clean,7b3b9e31aeba,1
CIE 2650,𐌀𐌓𐌀𐌍𐌔𐌌𐌖𐌅𐌄𐌓𐌕𐌉𐌋𐌀𐌍𐌔𐌌𐌖𐌅𐌄𐌓𐌕𐌉𐌋𐌀𐌍𐌔𐌌𐌖𐌅𐌄𐌓𐌕𐌉𐌋,RA. PURNEI. VELZNAL. PESUMSNASA,,RA. PURNEI. VELZNAL. PESUMSNASA,,,,1.000,clean,d97eef72493c,1
CIE 2651,𐌋𐌀𐌓𐌉𐌔𐌐𐌖𐌓𐌍𐌄𐌉𐌋𐌀𐌖𐌊𐌉𐌍𐌀𐌋,LARIS | PURNEI | LAUCINAL,,LARIS PURNEI LAUCINAL,,,,1.000,clean,dcb8d14693f6,1
7732,enearpni,enearpni,𐌄𐌍𐌄𐌀𐌓𐌐𐌍𐌉,enearpni,,,,1.000,clean,f42a40852820,1
7734,sifestinal,sifestinal,𐌔𐌉𐌚𐌄𐌔𐌕𐌉𐌍𐌀𐌋,sifestinal,larnamrs-festinis,,,1.000,clean,17de00d87f58,1
7737,thanr,θanr,𐌈𐌀𐌍𐌓,θanr,thegodvulcan,,,1.000,clean,cf7a35fa3364,4
7796,manth,manθ,𐌌𐌀𐌍𐌈,manθ,,,,1.000,clean,0118a5fc10e6,2
7809,einsuiaraenan,einsuiaraenan,𐌄𐌉𐌍𐌔𐌖𐌉𐌀𐌓𐌀𐌄𐌍𐌀𐌍,einsuiaraenan,look-atthe-tombof-mr-aranthenania,,,1.000,clean,770eb552fa6a,1
7830,rvssinaei,rvssinaei,𐌓𐌅𐌔𐌔𐌉𐌍𐌀𐌄𐌉,rvssinaei,,,,1.000,clean,62400bd93b2a,1
