artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
387465,"NMI BK — ?","Fourth Symposium 89ff. photo 1",Stolper1976-5855,primary,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,50.0,16.0,32.0,,,M-1007,"ABC N125",,3,,,,undetermined,,,,,,,,,,ABC,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
387466,"NMI BK — ?","NMI BK — ?",,,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,,,,,,M-1008,"ABC N",,3,,,,undetermined,,,,,,,,,"11 fragments of tablets with incomplete signs.",ABC,0,,0,"11 fragments of tablets with incomplete signs.",0,,0,,,," ",0,0,,,0,0,0,0,,
387467,"NMI BK — ?","NMI BK — ?",,,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,,,,,3,M-1479,U168-150,,,,,,undetermined,,,,,,,,,,TUV,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
387468,"NMI BK — ?","NMI BK — ?",,,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,,,,,,"Mf 9222",GGX98,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
388145,"Ashm 2002-0002","Ashm 2002-0002 unpublished assigned",,,,,,"Proto-Elamite (ca. 3100-2900 BC)",,"Ashmolean Museum, Oxford, UK",Administrative,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393079,unknown,"TSF 001","Dahl2012-Z93Q92PI; Dahlnnnn","primary; electronic","1; 001","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1029",,,,,,,undetermined,,,,,,S999999,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393080,unknown,"TSF 002","Dahl2012-Z93Q92PI; Dahlnnnn","primary; history","2; 002","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1045",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393081,unknown,"TSF 003","Dahl2012-Z93Q92PI; Dahlnnnn","primary; history","3; 003","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1017",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393082,unknown,"TSF 004","Dahl2012-Z93Q92PI; Dahlnnnn","primary; history","4; 004","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1044",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393083,unknown,"TSF 005","Dahl2012-Z93Q92PI; Dahlnnnn","primary; history","5; 005","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1009",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393084,unknown,"TSF 006","Dahl2012-Z93Q92PI; Dahlnnnn","primary; history","6; 006","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1226",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393085,unknown,"TSF 007","Dahl2012-Z93Q92PI; Dahlnnnn","primary; history","7; 007","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1219",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393086,unknown,"TSF 008","Dahl2012-Z93Q92PI; Dahlnnnn","primary; history","8; 008","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1311",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393087,unknown,"TSF 009","Dahl2012-Z93Q92PI; Dahlnnnn","primary; history","9; 009","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1119",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393088,unknown,"TSF 010","Dahl2012-Z93Q92PI; Dahlnnnn","primary; history","10; 010","; ","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 1603",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
393089,unknown,"TSF 011","Dahl2012-Z93Q92PI; Dahlnnnn; HessariYousefi2022","primary; history; history","11; 011; 20","; ; Tablet published by Dahl et al in 2011 republished here.","uncertain (mod. Tepe Sofalin)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,"SF 2455",,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
427671,"Sb 06390","Sb 06390",,,,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
427672,"Sb 06400","Sb 06400",,,,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
